saleprice,catprice,sale_num,nbhd,quad,usecode,eyb,num_units,landarea,livingarea,rooms,bedrm,bathrm,hf_bathrm,kitchens,fireplaces,lot_type,heater,AC,style,struct_type,grade,condtn,extwall,intwall,roofing
4069000,10,1,56,1,12,1953,1,2652,1624,9,4,2,0,1,1,1,8,2,5,7,2,1,22,4,3
5824741,10,2,32,1,11,2016,1,906,1216,5,3,2,1,1,0,2,6,3,4,5,1,7,22,5,3
5000000,10,1,49,2,23,1956,4,4305,2720,16,4,4,0,4,0,1,8,2,4,2,1,1,7,4,1
5537500,10,2,32,1,11,2016,1,768,1216,7,3,2,1,1,0,1,6,3,4,5,1,7,4,5,3
7550000,10,1,50,2,23,1949,4,4300,3152,12,4,4,0,4,0,1,8,2,4,2,9,1,7,4,13
7550000,10,1,50,2,23,1949,4,4200,3224,12,4,4,0,4,0,1,8,2,4,2,9,1,7,4,1
7550000,10,1,50,2,23,1949,4,3700,3874,14,6,4,0,4,0,1,8,2,4,2,9,1,7,4,1
7550000,10,1,50,2,23,1949,4,4300,3168,12,4,4,0,4,0,1,8,3,4,2,9,1,7,4,1
3120000,10,1,49,2,11,1949,2,2578,1178,6,3,2,0,2,0,1,8,2,4,5,9,1,7,4,9
1200000,10,2,2,3,13,1942,1,2160,1520,6,3,1,0,1,0,2,8,2,4,6,2,6,23,12,1
3500000,10,2,40,2,23,1953,4,1376,2416,20,4,4,0,4,0,1,8,2,4,2,2,4,7,12,3
3875000,10,1,25,2,11,1963,1,3031,600,4,1,1,0,1,0,2,13,3,4,4,2,5,7,4,3
3500000,10,2,40,2,23,1953,4,3406,4960,20,12,2,0,2,0,1,8,2,4,2,2,4,7,4,13
6000000,10,1,30,2,12,1962,1,21780,5600,6,3,2,0,1,0,2,13,3,4,7,12,1,20,4,9
4275000,10,1,34,2,12,1956,1,10500,518,2,1,1,0,1,0,1,6,3,1,7,1,5,23,4,3
950000,9,2,33,3,12,1955,1,8000,775,5,3,1,0,1,0,2,6,2,1,7,2,1,23,4,3
3550000,10,1,40,2,24,1980,4,1540,2541,10,4,4,0,4,0,1,13,3,7,5,9,1,7,1,1
2650000,10,1,4,2,19,2003,1,12306,0,6,0,4,0,2,0,2,13,3,1,7,3,5,7,4,3
